train error: 13510723304.19212, validation error: 368296592820.6967
train error: 8.134279103812162e+30, validation error: 1.5414843433648902e+31
gen: 18 best:381807316124.88885
train error: 6.905396984623903e+24, validation error: 1.3387955392222653e+25
train error: 1.9888923402425196e+16, validation error: 3.875140244094924e+16
train error: 3.2450863277626585e+21, validation error: 5.976815143842109e+21
train error: 3.439941568115859e+31, validation error: 6.507994217974726e+31
train error: 1.8457825878151057e+31, validation error: 3.488860891750046e+31
train error: 1.4331103255419518e+31, validation error: 2.711240770738371e+31
train error: 2.5692240833611047e+31, validation error: 4.862266509888801e+31
train error: 1.22321251826609e+40, validation error: 1.2447490008012603e+40
train error: 8.44832550546537e+27, validation error: 1.6168349911349546e+28
train error: 3.7440645935137407e+31, validation error: 7.085322243516995e+31
train error: 3.3800692610507703e+31, validation error: 6.387582087059369e+31
train error: 1.3776665017608068e+31, validation error: 2.608254621917955e+31
train error: 9.493997447190185e+39, validation error: 9.661145482600486e+39
train error: 1.5100293132483758e+24, validation error: 2.9215884931044526e+24
train error: 2.0586497686342083e+31, validation error: 3.8933381694399446e+31
gen: 19 best:381807316124.88885
train error: 5.218364501607296e+27, validation error: 1.0004032108872046e+28
train error: 5.0967487838395653e+39, validation error: 5.186479065911835e+39
train error: 1.9236192054887042e+39, validation error: 1.9574841301572743e+39
train error: 3.8760112054027655e+38, validation error: 3.944784634267735e+38
train error: 3.083029594788993e+23, validation error: 5.9771190741534506e+23
train error: 3.272000324447334e+27, validation error: 6.272819546555061e+27
train error: 2.8446416115784356e+31, validation error: 5.381704078054181e+31
train error: 2.229554791510765e+40, validation error: 2.268866191293812e+40
train error: 1.4219449839039018e+30, validation error: 2.690138763939289e+30
train error: 2.3198492785905353e+31, validation error: 4.388863123003471e+31
train error: 2.2752305084049366e+39, validation error: 2.315292803190551e+39
train error: 2.1374522775056656e+31, validation error: 4.0388275148616257e+31
train error: 5.806017506967212e+30, validation error: 1.0984159416268655e+31
train error: 2.3171627289462187e+40, validation error: 2.357959864087284e+40
train error: 3.289307655316621e+31, validation error: 6.222972312924155e+31
gen: 20 best:381807316124.88885
train error: 1.4159000986126303e+40, validation error: 1.4408288063935072e+40
train error: 2.16886455465582e+40, validation error: 2.2070925440670246e+40
train error: 2.5076815485347047e+39, validation error: 2.55190158124999e+39
train error: 1.4502683988124684e+39, validation error: 1.4758025408169396e+39
train error: 1.1227275726704629e+26, validation error: 2.10864336601617e+26
train error: 3.4629124355710275e+39, validation error: 3.523881214961964e+39
train error: 6.21200545149484e+21, validation error: 1.2139913693963903e+22
train error: 8.328899599864644e+39, validation error: 8.475542306860621e+39
train error: 7.755344177499339e+30, validation error: 1.4672171794400645e+31
train error: 3.0537243790923644e+31, validation error: 5.773295654061227e+31
train error: 1.8342860040630588e+40, validation error: 1.866581348165709e+40
train error: 1.0697988314038756e+24, validation error: 2.0789694872952037e+24
train error: 2.0868032599026523e+38, validation error: 2.123548253304296e+38
train error: 3.728710717944053e+26, validation error: 7.174696589560869e+26
train error: 1.5932160248800239e+31, validation error: 3.0183452792440005e+31
Answer 381807316124.88885
